source_lat,source_lon,target_lat,target_lon,source,target,road_name,speed_kph,freeFlow_kph,jamFactor,isClosed,segmentLength,oneway
14.617651,121.001840,14.617704,121.002044,1,11068,E. Rodriguez Sr. Avenue,50.000000,50,1.000000,False,22.660000,1
14.617651,121.001840,14.617816,121.001881,1,2,Mabuhay Rotonda,50.000000,50,1.000000,False,19.490000,1
14.617816,121.001881,14.617987,121.002027,2,8424,Quezon Avenue,50.000000,50,1.000000,False,24.580000,1
14.617816,121.001881,14.617970,121.001701,2,3,Mabuhay Rotonda,50.000000,50,1.000000,False,27.590000,1
14.617970,121.001701,14.617969,121.001656,3,9929,Mabuhay Rotonda,50.000000,50,1.000000,False,4.850000,1
14.630751,121.018182,14.630184,121.017239,4,2956,Panay Avenue,50.000000,50,1.000000,False,119.390000,0
14.630751,121.018182,14.629844,121.018751,4,12198,Doctor G. Garcia Avenue,50.000000,50,1.000000,False,119.470000,0
14.630751,121.018182,14.631727,121.017527,4,13345,Doctor G. Garcia Avenue,50.000000,50,1.000000,False,129.390000,0
14.630751,121.018182,14.632307,121.020687,4,1040,Panay Avenue,50.000000,50,1.000000,False,320.230000,0
14.633907,121.023190,14.635510,121.025859,5,1541,Panay Avenue,50.000000,50,1.000000,False,338.080000,0
14.633907,121.023190,14.632971,121.023805,5,6,Scout Magbanua Street,50.000000,50,1.000000,False,123.370000,0
14.633907,121.023190,14.634865,121.022567,5,1543,Scout Magbanua Street,50.000000,50,1.000000,False,125.890000,0
14.633907,121.023190,14.632346,121.020747,5,12451,Panay Avenue,50.000000,50,1.000000,False,314.980000,0
14.632971,121.023805,14.633006,121.023866,6,12199,Mother Ignacia Avenue,50.000000,50,1.000000,False,7.650000,0
14.632971,121.023805,14.632414,121.022910,6,13460,Mother Ignacia Avenue,50.000000,50,1.000000,False,114.520000,0
14.632971,121.023805,14.632436,121.023713,6,383,Scout Magbanua Street,50.000000,50,1.000000,False,60.830000,0
14.632971,121.023805,14.633907,121.023190,6,5,Scout Magbanua Street,50.000000,50,1.000000,False,123.370000,0
