source,target,length,name,highway,oneway
1,11068,22.66,E. Rodriguez Sr. Avenue,secondary,1
1,2,19.49,Mabuhay Rotonda,primary,1
2,8424,24.58,Quezon Avenue,primary,1
2,3,27.59,Mabuhay Rotonda,primary,1
3,9929,4.85,Mabuhay Rotonda,primary,1
4,2956,119.39,Panay Avenue,unclassified,0
4,12198,119.47,Doctor G. Garcia Avenue,residential,0
4,13345,129.39,Doctor G. Garcia Avenue,residential,0
4,1040,320.23,Panay Avenue,unclassified,0
5,1541,338.08,Panay Avenue,unclassified,0
5,6,123.37,Scout Magbanua Street,unclassified,0
5,1543,125.89,Scout Magbanua Street,unclassified,0
5,12451,314.98,Panay Avenue,unclassified,0
6,12199,7.65,Mother Ignacia Avenue,tertiary,0
6,13460,114.52,Mother Ignacia Avenue,tertiary,0
6,383,60.83,Scout Magbanua Street,residential,0
6,5,123.37,Scout Magbanua Street,unclassified,0
7,9882,37.51,,secondary_link,1
7,11083,29.01,Don Alejandro Roces Avenue,secondary,1
8,685,36.88,Timog Avenue,primary,0
8,7769,43.53,Panay Avenue,unclassified,0
8,7705,44.68,Timog Avenue,primary,0
8,7704,46.41,Panay Avenue,unclassified,0
9,671,38.82,11th Jamboree Street,tertiary,0
9,655,56.91,11th Jamboree Street,tertiary,0
9,441,226.71,Scout Gandia Street,residential,1
10,630,60.11,K-D Street,residential,0
10,655,55.2,11th Jamboree Street,tertiary,0
10,11,261.32,Kamuning Road,secondary,0
10,9800,291.54,Kamuning Road,secondary,0
11,10,261.32,Kamuning Road,secondary,0
11,261,251.24,Kamuning Road,secondary,0
11,631,58.31,Judge D. Jimenez Street,tertiary,0
11,11658,134.83,Scout Ybardolaza Street,tertiary,0
12,11866,12.5,Kamuning Road,secondary,0
12,9799,27.67,Kamuning Road,secondary,1
13,14,279.6,7th Street,residential,0
13,310,88.97,Doña Hemady Street,secondary,1
14,304,92.38,Gilmore Avenue,secondary,1
14,13,279.6,7th Street,residential,0
14,8680,282.42,7th Street,residential,0
15,9419,282.36,E. Rodriguez Sr. Avenue,secondary,0
15,22,39.74,E. Rodriguez Sr. Avenue,secondary,0
15,314,103.07,Gilmore Avenue,secondary,1
16,10015,9.31,Tomas Morato Avenue,secondary,1
16,11936,152.0,Don Alejandro Roces Avenue,secondary,1
17,446,58.33,Scout Torillo Street,residential,0
17,445,60.83,Scout Torillo Street,residential,0
17,18,234.52,Scout Gandia Street,residential,1
18,667,60.99,Tomas Morato Avenue,secondary,0
18,653,58.07,Tomas Morato Avenue,secondary,0
18,669,234.12,Scout Gandia Street,residential,1
19,1041,85.4,Mother Ignacia Avenue,tertiary,0
