id_hash,source_lat,source_lon,target_lat,target_lon,road_name,highway_type,source,target
xqsspa,14.6293428,121.0409496,14.6286652,121.0386239,Kamuning Road,secondary,10,11
xqsspa,14.6293428,121.0409496,14.630081,121.0435496,Kamuning Road,secondary,10,9798
xqsspa,14.6286652,121.0386239,14.6293428,121.0409496,Kamuning Road,secondary,11,10
d0cpdd,14.6286652,121.0386239,14.6280248,121.0363848,Kamuning Road,secondary,11,261
d0cpdd,14.6274061,121.0342159,14.6274348,121.0343282,,,12,11864
oyztk8,14.6189479,121.0345854,14.6196356,121.0341627,Doña Hemady Street,secondary,13,310
s82vcw,14.6176762,121.0323437,14.6169562,121.0327721,Gilmore Avenue,secondary,14,304
gsp5pa,14.6232525,121.0289748,14.6239745,121.0314874,E. Rodriguez Sr. Avenue,secondary,15,9417
xeln5w,14.6232525,121.0289748,14.6231346,121.0286261,E. Rodriguez Sr. Avenue,secondary,15,22
35wov4,14.6232525,121.0289748,14.622441,121.0294274,Gilmore Avenue,secondary,15,314
u0cbyx,14.6287424,121.0339311,14.6290418,121.0325526,,,16,11934
twhsrw,14.6317069,121.0346417,14.6322421,121.0347659,Tomas Morato Avenue,secondary,18,667
twhsrw,14.6317069,121.0346417,14.6311967,121.0345264,Tomas Morato Avenue,secondary,18,653
s82vcw,14.6162288,121.0332221,14.6152845,121.0338076,Gilmore Avenue,secondary,21,301
xeln5w,14.6231346,121.0286261,14.6229476,121.0280265,E. Rodriguez Sr. Avenue,secondary,22,1092
xeln5w,14.6231346,121.0286261,14.6232525,121.0289748,E. Rodriguez Sr. Avenue,secondary,22,15
nu7qsg,14.6531486,121.0511626,14.6542794,121.0479995,Elliptical Road,primary,25,9817
i7o432,14.6549972,121.064311,14.6549568,121.0623338,University Avenue,tertiary,26,29
ebxb9z,14.6549972,121.064311,14.6548201,121.0643146,Osmeña Avenue,tertiary,26,163
hd112s,14.6561608,121.0727553,14.6561513,121.0716067,Osmeña Avenue,tertiary,27,197
echjo,14.6561608,121.0727553,14.657556,121.0727375,F. Maria Guerrero Street,unclassified,27,9463
iwdb2d,14.6538697,121.0686228,14.6539135,121.0716596,M. Roxas Avenue,tertiary,28,9605
i7o432,14.6549568,121.0623338,14.6549445,121.0615652,University Avenue,tertiary,29,9502
np3w5p,14.6146532,121.0705914,14.6145763,121.07016,,,32,10893
fhjw0r,14.6151175,121.0746538,14.6144519,121.0747982,,,33,10239
t8vei8,14.6323201,121.0776521,14.6324764,121.0754836,Marcos Highway,primary,34,495
83kuw9,14.6093639,121.0766579,14.6085692,121.0773845,E. Rodriguez Jr. Avenue,primary,35,8035
bvdemp,14.6273771,121.0620623,14.6270084,121.0613199,Aurora Boulevard,primary,36,395
4yrfmo,14.6494052,121.0477284,14.6490675,121.0481509,,,37,10028
u0el57,14.6535903,121.0742817,14.6525831,121.0742996,,,38,13612
ir33qn,14.6546178,121.0350919,14.6545175,121.035069,Mindanao Avenue,primary,39,2533
4n7z7,14.6546178,121.0350919,14.6551098,121.032873,,,39,12531
ir33qn,14.6611033,121.036506,14.6593423,121.0361532,Mindanao Avenue,primary,40,7420
pxpemt,14.6472663,121.0602408,14.6471743,121.0604847,,,41,10107
pxpemt,14.6472496,121.0678673,14.6479838,121.0659836,Carlos P. Garcia Avenue,secondary,42,9604
ra62r4,14.6472496,121.0678673,14.6472033,121.068968,Carlos P. Garcia Avenue,secondary,42,224
lnzxl1,14.5937043,121.0588375,14.5939703,121.0589336,EDSA,primary,43,8151
xqsspa,14.6306965,121.0456745,14.6304582,121.0448457,Kamuning Road,secondary,44,45
g1fcpp,14.6306965,121.0456745,14.630804,121.0460206,,,44,10121
kyqwyz,14.6306965,121.0456745,14.629316,121.0463201,EDSA,primary,44,8452
xqsspa,14.6304582,121.0448457,14.6306965,121.0456745,Kamuning Road,secondary,45,44
bc2ya6,14.628555,121.0470307,14.630804,121.0460206,,,46,10121
2812hz,14.628555,121.0470307,14.6351585,121.0435568,EDSA,trunk,46,7673
wqqi5f,14.6330079,121.0445936,14.6331536,121.0448912,"Primary Road (51, 2800)",primary,51,2800
unk0sd,14.6330079,121.0445936,14.632551,121.0448471,EDSA,primary,51,7424
n1ayjp,14.6327556,121.0451156,14.633502,121.0451558,"Primary Link Road (52, 2765)",primary_link,52,2765
1h1zvl,14.6327556,121.0451156,14.6331536,121.0448912,EDSA,primary,52,2800
cxv9v5,14.6548924,121.0584215,14.6552973,121.0557616,,,53,10162
x4tmsu,14.704652,121.0821882,14.7043515,121.0832236,Commonwealth Avenue,primary,54,60
dc662d,14.7035506,121.0845881,14.700998,121.0865187,Commonwealth Avenue,primary,55,4889
ovtgrn,14.7073813,121.0636143,14.7067709,121.0643072,Commonwealth Avenue,primary,56,4533
