id_hash,source_lat,source_lon,target_lat,target_lon,source,target,road_name
xqsspa,14.6293428,121.0409496,14.6286652,121.0386239,10,11,Kamuning Road
xqsspa,14.6293428,121.0409496,14.630081,121.0435496,10,9798,Kamuning Road
xqsspa,14.6286652,121.0386239,14.6293428,121.0409496,11,10,Kamuning Road
d0cpdd,14.6286652,121.0386239,14.6280248,121.0363848,11,261,Kamuning Road
d0cpdd,14.6274061,121.0342159,14.6274348,121.0343282,12,11864,Kamuning Road
oyztk8,14.6189479,121.0345854,14.6196356,121.0341627,13,310,Doña Hemady Street
s82vcw,14.6176762,121.0323437,14.6169562,121.0327721,14,304,Gilmore Avenue
gsp5pa,14.6232525,121.0289748,14.6239745,121.0314874,15,9417,E. Rodriguez Sr. Avenue
xeln5w,14.6232525,121.0289748,14.6231346,121.0286261,15,22,E. Rodriguez Sr. Avenue
35wov4,14.6232525,121.0289748,14.622441,121.0294274,15,314,Gilmore Avenue
u0cbyx,14.6287424,121.0339311,14.6290418,121.0325526,16,11934,Don Alejandro Roces Avenue
twhsrw,14.6317069,121.0346417,14.6322421,121.0347659,18,667,Tomas Morato Avenue
twhsrw,14.6317069,121.0346417,14.6311967,121.0345264,18,653,Tomas Morato Avenue
s82vcw,14.6162288,121.0332221,14.6152845,121.0338076,21,301,Gilmore Avenue
xeln5w,14.6231346,121.0286261,14.6229476,121.0280265,22,1092,E. Rodriguez Sr. Avenue
xeln5w,14.6231346,121.0286261,14.6232525,121.0289748,22,15,E. Rodriguez Sr. Avenue
nu7qsg,14.6531486,121.0511626,14.6542794,121.0479995,25,9817,Elliptical Road
i7o432,14.6549972,121.064311,14.6549568,121.0623338,26,29,University Avenue
ebxb9z,14.6549972,121.064311,14.6548201,121.0643146,26,163,Osmeña Avenue
hd112s,14.6561608,121.0727553,14.6561513,121.0716067,27,197,Osmeña Avenue
echjo,14.6561608,121.0727553,14.657556,121.0727375,27,9463,F. Maria Guerrero Street
iwdb2d,14.6538697,121.0686228,14.6539135,121.0716596,28,9605,M. Roxas Avenue
i7o432,14.6549568,121.0623338,14.6549445,121.0615652,29,9502,University Avenue
